Partie,Nb joueurs,Date,Extension,Joueur,Ville,Côté,Rouge,Argent,Merveille,Bleu,Jaune,Violet,Vert,Leaders,Total,Rang,Rang relatif,Vainqueur
50,5,01/01/2016,base,C,alexandrie,b,10,1,7,10,0,7,13,,48,5,100%,0
50,5,01/01/2016,base,L,olympe,b,-2,5,5,20,3,22,0,,53,3,50%,0
50,5,01/01/2016,base,S,halikarnasse,b,15,3,2,12,4,8,16,,60,1,0%,1
50,5,01/01/2016,base,Y,ephèse,a,-5,5,10,17,4,8,10,,49,4,75%,0
51,5,01/01/2016,base,A,halikarnasse,a,-4,3,10,0,4,5,26,,44,5,100%,0
51,5,01/01/2016,base,C,alexandrie,a,5,5,10,17,0,10,10,,57,2,25%,0
51,5,01/01/2016,base,L,rhodes,b,18,5,7,12,6,8,0,,56,3,50%,0
51,5,01/01/2016,base,S,ephèse,b,-6,4,10,19,4,6,10,,47,4,75%,0
51,5,01/01/2016,base,Y,gizah,b,18,9,20,8,8,7,0,,70,1,0%,1
52,5,01/01/2016,base,A,babylone,a,-6,3,10,21,7,5,10,,50,4,75%,0
52,5,01/01/2016,base,S,rhodes,b,8,4,3,14,1,14,0,,44,5,100%,0
52,5,01/01/2016,base,Didier,gizah,b,16,6,20,10,4,0,0,,56,2,25%,0
52,5,01/01/2016,base,C,olympe,a,-6,2,10,0,0,10,40,,56,3,50%,0
52,5,01/01/2016,base,Y,halikarnasse,a,18,2,10,7,10,9,4,,60,1,0%,1
53,4,02/01/2016,leaders,A,halikarnasse,b,8,5,3,5,7,15,10,8,61,2,33%,0
53,4,02/01/2016,leaders,L,alexandrie,a,-6,2,10,11,3,5,16,8,49,4,100%,0
53,4,02/01/2016,leaders,C,gizah,b,7,6,20,15,4,0,4,8,64,1,0%,1
53,4,02/01/2016,leaders,Y,olympe,a,13,2,5,17,6,5,0,5,53,3,67%,0
54,4,02/01/2016,leaders,A,rhodes,b,5,5,6,10,3,16,4,15,64,4,100%,0
54,4,02/01/2016,leaders,L,babylone,b,-1,2,3,5,4,0,55,0,68,2,33%,0
54,4,02/01/2016,leaders,C,halikarnasse,b,8,7,3,25,0,6,17,0,66,3,67%,0
54,4,02/01/2016,leaders,Y,gizah,b,12,4,20,0,5,24,0,12,77,1,0%,1
55,3,16/01/2016,leaders,C,halikarnasse,b,-4,4,3,6,0,4,31,13,57,3,100%,0
55,3,16/01/2016,leaders,A,rhodes,b,5,13,7,8,8,0,18,0,59,2,50%,0
55,3,16/01/2016,leaders,Y,ephèse,b,15,2,10,28,3,7,0,6,71,1,0%,1
56,5,17/01/2016,base,L,halikarnasse,b,5,5,3,16,4,0,13,,46,4,75%,0
56,5,17/01/2016,base,C,ephèse,a,-5,7,10,9,4,0,16,,41,5,100%,0
56,5,17/01/2016,base,S,babylone,b,18,3,3,12,2,13,0,,51,2,25%,0
56,5,17/01/2016,base,A,alexandrie,a,-6,8,10,11,7,6,10,,46,3,50%,0
56,5,17/01/2016,base,Y,rhodes,a,18,3,10,18,0,15,0,,64,1,0%,1
57,3,23/01/2016,leaders,C,alexandrie,b,8,2,7,17,3,0,16,6,59,2,50%,0
57,3,23/01/2016,leaders,A,babylone,b,14,1,3,3,2,7,18,8,56,3,100%,0
57,3,23/01/2016,leaders,Y,gizah,a,-6,2,15,27,0,14,1,10,63,1,0%,1
58,3,23/01/2016,leaders,S,halikarnasse,b,8,0,3,12,7,9,16,2,57,2,50%,0
58,3,23/01/2016,leaders,C,rome,b,-5,7,6,16,4,12,10,0,50,3,100%,0
58,3,23/01/2016,leaders,Y,olympe,b,15,1,5,14,0,12,13,12,72,1,0%,1
59,3,31/01/2016,leaders,A,babylone,a,-4,3,10,15,0,7,26,0,57,3,100%,0
59,3,31/01/2016,leaders,C,alexandrie,b,8,1,0,0,0,8,26,3,46,2,50%,0
59,3,31/01/2016,leaders,Y,halikarnasse,a,12,6,10,11,12,6,0,5,62,1,0%,1
60,4,07/02/2016,leaders,C,olympe,b,-6,6,5,8,4,15,18,11,61,2,33%,0
60,4,07/02/2016,leaders,A,rome,b,8,3,6,12,7,5,10,10,61,3,67%,0
60,4,07/02/2016,leaders,S,alexandrie,b,14,1,10,14,0,8,0,18,65,1,0%,1
60,4,07/02/2016,leaders,Y,rhodes,a,8,4,10,22,6,4,0,0,54,4,100%,0
61,4,16/02/2016,base,MVA,alexandrie,b,-3,3,7,6,0,0,36,,49,3,67%,0
61,4,16/02/2016,base,EMA,halikarnasse,a,11,0,10,20,0,7,0,,48,4,100%,0
61,4,16/02/2016,base,XVI,rhodes,b,-4,10,3,3,5,9,26,,52,2,33%,0
61,4,16/02/2016,base,Y,babylone,b,15,2,3,22,7,7,0,,56,1,0%,1
62,3,20/02/2016,base,L,alexandrie,b,5,2,7,19,3,0,13,,49,2,50%,0
62,3,20/02/2016,base,C,rhodes,a,9,2,10,8,0,11,10,,50,1,0%,1
62,3,20/02/2016,base,Y,gizah,a,4,2,15,6,4,0,10,,41,3,100%,0
63,4,24/02/2016,base,Y,olympe,b,13,3,5,21,0,13,0,,55,2,33%,0
63,4,24/02/2016,base,S,halikarnasse,b,8,3,2,8,4,11,10,,46,4,100%,0
63,4,24/02/2016,base,A,alexandrie,a,-6,3,10,0,4,0,38,,49,3,67%,0
63,4,24/02/2016,base,C,ephèse,b,7,4,10,11,0,13,10,,55,1,0%,1
64,5,28/02/2016,base,L,olympe,a,-3,3,10,25,0,11,0,,46,4,75%,0
64,5,28/02/2016,base,C,halikarnasse,a,2,2,10,9,6,0,10,,39,5,100%,0
64,5,28/02/2016,base,A,alexandrie,b,17,2,7,11,0,6,10,,53,2,25%,0
64,5,28/02/2016,base,S,gizah,b,-3,4,20,12,4,0,10,,47,3,50%,0
64,5,28/02/2016,base,Y,rhodes,a,15,3,10,14,6,10,0,,58,1,0%,1
65,5,21/02/2016,leaders,A,rhodes,b,7,1,7,12,3,1,13,5,49,5,100%,0
65,5,21/02/2016,leaders,Y,olympe,b,14,1,5,14,4,17,0,13,68,2,25%,0
65,5,21/02/2016,leaders,L,babylone,a,-5,4,10,0,0,0,38,10,57,4,75%,0
65,5,21/02/2016,leaders,S,alexandrie,a,15,6,10,17,3,9,1,13,74,1,0%,1
65,5,21/02/2016,leaders,C,rome,a,-3,3,10,12,7,7,10,6,52,3,50%,0
66,4,05/03/2016,base,L,babylone,b,11,6,3,13,6,7,0,,46,2,33%,0
66,4,05/03/2016,base,C,rhodes,a,10,2,10,0,0,8,13,,43,4,100%,0
66,4,05/03/2016,base,A,halikarnasse,a,4,2,10,13,0,6,13,,48,1,0%,1
66,4,05/03/2016,base,Y,alexandrie,a,-3,4,10,18,8,8,0,,45,3,67%,0
